[07Aug2025 00:00:02.254] [Server thread/INFO] [com.tiviacz.travelersbackpack.TravelersBackpack/]: Created new backpack backup file for Lea_Matt with unique ID 17f7e57c-8674-4568-ba54-c76219432396
[07Aug2025 00:00:02.263] [Server thread/INFO] [com.tiviacz.travelersbackpack.TravelersBackpack/]: Your backpack has been placed at X: 86 Y: 65 Z: -870
[07Aug2025 00:00:02.263] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Lea_Matt withered away whilst fighting Scorpioid Bloodluster
[07Aug2025 00:00:02.275] [Server thread/INFO] [tombstone/]: The player Lea_Matt has successfully been saved
[07Aug2025 00:00:03.190] [Server thread/WARN] [net.minecraft.server.level.ServerLevel/]: Tried to add entity castle_and_hustle:shield_bearer but it was marked as removed already
[07Aug2025 00:00:08.532] [Server thread/WARN] [net.minecraft.server.level.ServerLevel/]: Tried to add entity castle_and_hustle:shaman but it was marked as removed already
[07Aug2025 00:00:08.768] [Server thread/WARN] [net.minecraft.server.level.ServerLevel/]: Tried to add entity castle_and_hustle:ogre but it was marked as removed already
[07Aug2025 00:00:11.405] [Server thread/WARN] [net.minecraft.server.level.ServerLevel/]: Tried to add entity arphex:moth_shadow_clone but it was marked as removed already
[07Aug2025 00:00:16.253] [Server thread/WARN] [net.minecraft.server.level.ServerLevel/]: Tried to add entity arphex:moth_shadow_clone but it was marked as removed already
[07Aug2025 00:00:16.300] [Server thread/WARN] [net.minecraft.server.level.ServerLevel/]: Tried to add entity castle_and_hustle:dagger but it was marked as removed already
[07Aug2025 00:00:17.549] [Server thread/WARN] [net.minecraft.server.level.ServerLevel/]: Tried to add entity arphex:moth_shadow_clone but it was marked as removed already
[07Aug2025 00:00:18.101] [Server thread/WARN] [net.minecraft.server.level.ServerLevel/]: Tried to add entity arphex:moth_shadow_clone but it was marked as removed already
[07Aug2025 00:00:19.400] [Server thread/WARN] [net.minecraft.server.level.ServerLevel/]: Tried to add entity castle_and_hustle:dagger but it was marked as removed already
[07Aug2025 00:00:20.452] [Server thread/WARN] [net.minecraft.server.level.ServerLevel/]: Tried to add entity arphex:moth_shadow_clone but it was marked as removed already
[07Aug2025 00:00:20.452] [Server thread/WARN] [net.minecraft.server.level.ServerLevel/]: Tried to add entity arphex:moth_shadow_clone but it was marked as removed already
